time,faces_130,faces_131,average_numeric,average_binary,task_start_sec,task_end_sec,condition
209.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
210.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
210.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
211.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
211.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
212.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
212.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
213.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
213.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
214.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
