frame,time,actual_video_time,faces_detected_count,face_0_tl_x,face_0_tl_y,face_0_br_x,face_0_br_y,face_1_tl_x,face_1_tl_y,face_1_br_x,face_1_br_y
14647,07:53.000,07:53.022,1,744.0,652.0,902.0,851.0,,,,
14662,07:53.500,07:53.523,1,1655.0,808.0,1822.0,1027.0,,,,
14677,07:54.000,07:54.023,1,1448.0,776.0,1599.0,981.0,,,,
14692,07:54.500,07:54.523,1,1212.0,720.0,1359.0,922.0,,,,
14707,07:55.000,07:55.023,1,1263.0,613.0,1409.0,815.0,,,,
14722,07:55.500,07:55.523,1,1285.0,573.0,1437.0,779.0,,,,
14737,07:56.000,07:56.023,2,1623.0,700.0,1792.0,922.0,-64.0,870.0,94.0,1103.0
14752,07:56.500,07:56.523,2,321.0,577.0,505.0,820.0,2038.0,634.0,2239.0,895.0
14767,07:57.000,07:57.023,1,855.0,464.0,1016.0,686.0,,,,
14782,07:57.500,07:57.523,1,691.0,400.0,864.0,642.0,,,,
14797,07:58.000,07:58.025,2,1898.0,336.0,2130.0,636.0,-27.0,517.0,183.0,800.0
14813,07:58.500,07:58.525,1,1452.0,445.0,1629.0,679.0,,,,
14828,07:59.000,07:59.025,1,1214.0,466.0,1375.0,691.0,,,,
14843,07:59.500,07:59.525,1,1220.0,591.0,1374.0,801.0,,,,
14858,08:00.000,08:00.025,1,1128.0,494.0,1278.0,710.0,,,,
14873,08:00.500,08:00.525,1,1157.0,513.0,1302.0,719.0,,,,
14888,08:01.000,08:01.025,1,1147.0,532.0,1297.0,744.0,,,,
14903,08:01.500,08:01.525,1,1296.0,631.0,1453.0,844.0,,,,
14918,08:02.000,08:02.027,1,1362.0,630.0,1521.0,850.0,,,,
14933,08:02.500,08:02.527,1,1360.0,642.0,1507.0,853.0,,,,
14948,08:03.000,08:03.027,1,926.0,687.0,1064.0,889.0,,,,
14963,08:03.500,08:03.527,1,1103.0,621.0,1239.0,812.0,,,,
14978,08:04.000,08:04.027,1,993.0,757.0,1126.0,948.0,,,,
14993,08:04.500,08:04.527,1,898.0,661.0,1030.0,858.0,,,,
15008,08:05.000,08:05.027,1,902.0,717.0,1037.0,907.0,,,,
15023,08:05.500,08:05.527,1,794.0,576.0,933.0,778.0,,,,
15038,08:06.000,08:06.028,2,2178.0,298.0,2396.0,579.0,518.0,515.0,646.0,726.0
15053,08:06.500,08:06.528,2,2005.0,80.0,2223.0,388.0,331.0,465.0,477.0,692.0
15068,08:07.000,08:07.028,1,1567.0,258.0,1705.0,506.0,,,,
15083,08:07.500,08:07.528,1,1604.0,288.0,1739.0,525.0,,,,
15098,08:08.000,08:08.028,2,1699.0,187.0,1879.0,463.0,-86.0,378.0,128.0,655.0
15113,08:08.500,08:08.528,2,446.0,770.0,623.0,986.0,2041.0,367.0,2282.0,644.0
